date,author,topic,content,stem,label
27.11.2019 16:32,tilion,ali babacan,"kendisinin başarısı ekonominin bozulmasıyla doğrudan ilgili olacaktır. şöyle ki babacan’ın ekonomi bakanlığı döneminde fed’in düşük faiz kararı ile gelişmekte olan ülkelere para aktı. ucuz dolar tüm dünyaya yayıldı. 2001’de kriz yaşamış olan türkiye’de ekonomi bilgisi sınırlı olan geniş kesim bunu akp’nin ekonomi başarısı olarak gördü. toplumun büyük bölümünde ali babacan çok başarılı bir ekonomi bakanıdır. ab ile iyi ilişkiler kurması ve türkiye’deki patronların da kendisini tuttuğunu düşündüğümüzde başarma şansı yüksektir. bir de damat faktörü var tabi. ekonomi böyle kötüye gitmeye devam ederse “damat” uygulaması yüzünden tepkili partililerin de oylarını da toplar. kendisinin kurtarıcı olarak görünmesi neticesinde %10 barajını rahatlıkla aşar. belki de 2002 seçimlerindeki gibi beklenmedik düzeyde oy alıp yeni bir ak parti haline gelebilir. ali babacan’ı davutoğlu ve gül ile karıştırmamak gerekiyor. davutoğlu dış politikada başarısız olmuş ve şu an yaşadığımız göçmen krizinin arkasındaki adam. gül ise çankaya noteri olmaktan öteye gidemedi. bu algı üstlerine yapışmış durumda. ama ali babacan zeki bir hamle yapıp işlerin kötüye gittiğini anladığı an hala yükselme dönemindeyken partiden ayrıldı. zaten kendisindeki beklenti bu denli büyük olmasa parti kurmadan önce saraya davet edilip, parti kurmaktan vazgeçmeye zorlanmaz, ekonomi danışmanlığı teklif edilmez, “ümmeti bölüyorsun” suçlaması yapılmazdı. onun zamanında erdoğan’ın ekonomiye etkisi şimdiki kadar baskıcı değildi. daha çok kendisi ön plandaydı. bugün seçim olursa ak partinin bir kısmından, ekonomik krizle baş etmeye çalışan patronlardan ve chp’den memnun olmayan kesimden aldığı oylarla rahat %12’si olur kendisinin. teke tek’de söylediği birleştirici söylemleri devam ettirirse hdp’nin de desteği ile iktidara oynar. dolandırıcı cem uzan’ın neredeyse barajı geçtiği, tokatçı jet fadıl’ın milletvekili seçildiği ülkede ali babacan’ın çok rahat %10 üstü alabileceği açıktır.",kendi başarıs ekonom bozulma doğru ilgil olacak şö ki babaca ın ekono bakanlık dönem fen iş düşük faiz karar il gelişmek ola ülke par ak uç do tüm dünya yayıl 2001 dek kriz yaşamış ola türki dek ekono bilgis sınırlı ola geniş kes p akp nin ekono başarıs olarak gör topl büyük bölüm alt babaca çok başarıl bir ekono baka az il i ilişki kurmas ve türki dek patro ya kendi tuttuk düşündük başarma şansı yüksek bir dek damat faktör var tabi ekono bö kötü gitme deva eder damat uygulamas yüz tepkil partil dek oy ya top kendi kurtarıç olarak görünmes netice %10 baraj rahatlık aşar belki dek 2002 seçim gip beklenmedik düzey oy alıp ye bir az parti hal gelebilir alt babaca ı davutoğlu ve gül il karıştırmamak gerekiyor davutoğlu dış politika başarıs ol ve şu an yaşadık göçme kriz arkas ada gül is çanka noter olmak öte gidemedi bu algı üst yapış dur am alt babaca zek bir hamle yapıp iş kötü gittik anladık an hal yükselme dönem parti ayrıl zate kendis bekle bu denli büyük olmas parti kurma ö sara davet edilip parti kurmak vazgeçme zorlanmaz ekono danışmanlık teklif edilmez ümmet ölüyor suçlamas yapılmadı o zaman erdoğa ın ekonomi etkis şimdik kadar baskıç değil dah çok kendis ön puan bugu seç olur az parti bir kısm ekonomik kriz baş etme çalışa patron ve chp sen memn olmaya kes aldık oy rahat %12 su olur kendi tek tek dek söyledik birleştiriç söylem deva ettirir hdp nin dek destek il iktidar oynar dolandırıç cem uza ın nere baraj geçtik tokatçı et fadıl ın milletvekil seçildik ülke alt babaca ın çok rahat %10 üs alabilecek açık,1
27.11.2019 16:58,paolomaldini,ali babacan,"daha kendisi için bir şey söylemek için erken ancak zamanında 2018 yılında kılıçdaroğlu'nun abdullah gül'ü veya ali babacan'ı ortak aday göstermesi gerektiğini düşünenlerdendim. o aralar herkes bize vuruyordu neymiş siyasal islamcıyı destekliyormuşuz neymiş ekmeleddin v2'miş. muhalefet seçmeni ince ile kazanamayacağını görmedi kendi kendisini gazladı ve ince chp adayı oldu, erdoğan'ı siyasetten tasfiye edebilecek gül veya babacan projesi gerçekleşmedi. erdoğan'ın en büyük korkusu bu iki senaryoydu ve bunu bir şekilde engelledi. biraz da biz başaramadık, muhalefet içindeki sözde muhalif olan ama her daim muhalefete zarar adamlar yüzünden gerçekleştiremedik. abdullah gül elbette siyasal islamcıdır. bunu ben de biliyorum ancak erdoğan'ı o günlerde yenmenin tek yolu akp-mhp bloğundan en az 3-4% civarı oy kopartmaktı. bunu tek yapacak adamlar bu iki isimdi. erdoğan baskın seçime gitti elbette anketler yaparak gitti kazanacağını bilerek gitti o anki oy dağılımı belliydi en iyi ihtimalle ilk turda 50% 50% olsa bile ikinci turda fire vermeden kalan 50%'yi tek adayda toplamamız gerekiyordu ve bu neredeyse imkansızdı ki erdoğan ilk turda 53% aldı ve güle oynaya kazandı. eğer gül veya hadi gül çok daha akp döneminden bagajlı ve suçlu dersek ali babacan gibi bir isim muhalefetin ortak adayı olsaydı ve muhalefet akıllı olup onları yıpratmadan saldırmadan gidip oy verseydi 2018 başkanlık seçimi büyük olasılıkla muhalefet tarafından kazanılırdı. kılıçdaroğlu'nun planı da buydu. diyelim ali babacan başkan oldu arkasında millet ittifakı olacaktı ve parlementer sisteme çoktan dönmüş olacaktık ama bu olasılığı görmek yerine herkes bu planı eleştirdi erdoğan helikopterle genel kurmay başkanını gül'e gönderdi sosyal medyada yarısı dededen chp'li taklidi yapan akp trollü yarısı trollerden etkilenen muhalifler böyle bir şey olursa oy vermeyiz gider rte'ye veririz, nasıl bunu düşünürsünüz diye ortalığı karıştırdılar yani muhaliflerin saflığı ülkedeki siyaset ortamını okuyamaması akşener'in gül'e karşı sert tutumu ile bunlar birleşti ve ülke 5 yıl daha karanlığa gömülmek zorunda kaldı. şimdi o 2018 seçimi sonrası muhalefet için büyük yıkım oldu zor günlerden geçildi ancak artık chp yönetiminin ipleri eline alıp sosyal medyayı tepkileri vs umursamadan yaptığı isabetli aday seçimleriyle yerel seçimlerde başarı geldi. büyük risk aldık yerel seçimlerde başarı gelmeyedebilirdi sonuçta istanbul ilk seçimde 0. 1% fark ile kazanıldı eğer kazanılmasaydı bugün erdoğan çok daha güçlü olacaktı ve ali babacan ortaya hiç çıkmazdı kendisini riske atmazdı. ülke iyice karanlığa girerdi. ülkenin dikta problemi 2018 yılında çözülebilirdi biz işi uzattık. şimdi aslında abdullah gül ve babacan'a o kadar da ihtiyacımız kalmadı. erdoğan'ı her şekilde kendi adaylarımızla da yenebiliriz ama 2018'de yenemezdik. her neyse dün adamı dinledik bizden farklı bir şey demiyor. ha dersiniz erdoğan da 20 sene önce aynı şeyleri söylüyordu bunlara güven olmaz dersiniz bilemem. erdoğan demokrasi bir trendir gerektiğinde ineriz de diyordu çok daha uçtu tamamen aynı değil bence ama en iyi senaryo chp kadroları ile seçmeni ile bu adamların 2018'de erdoğan karşısında birleşmesiydi. bu senaryoda vitrinde gül veya babacan olacaktı biz ise kontrol sibobu olacaktık. bu adamları denetleyecektik ve kadrolarımızla destekleyecektik ve ülkede demokrasinin ve sistemlerin kurtarılmasını gerçekleştirecektik. bu birliktelik ülkenin kutuplaşma sorununu da çözecekti. biz bunu zamanında yapamadık. bizim kontrolümüzdeki ali babacan ve abdullah gül tehlikeli olamazdı ama kendi kadrolarıyla ne olur bilemiyorum. adamı izleyip takip ediyor olacağım. yanlız erdoğan bu ülkeye ne kadar zarar verdi her geçen gün daha fazla görüyoruz. ülkede aslında donanımlı adam her kesimde çok ama ortaya çıkamıyorlar çünkü kelle gitme tehlikesi var. ülkenin çivisi çıktı son 5 yılda ve çok şey kaybediyoruz her geçen sene. bu kafayla ülkemiz daha fazla gidemez. bu ülkenin büyük potansiyeli var ama yazık ettik.",dah kendis iç bir şey söylemek iç er ancak zaman 2018 yıl kılıçdaroğlu abdullah gül veya alt babaca ortak aday göstermes gerektik düşünen o ara herkes biz vuruyor ne siyasal islamcı destekliyor ne ekmeledi ve muhalefet seçme i il kazanamayacak görmedi ke kendi gaz ve i chp ada ol erdoğa siyaset tasfi edebilecek gül veya babaca projes gerçekleşmedi erdoğa en büyük korkus bu ik senaryo ve p bir şekil engelledi biraz ya biz başaramadık muhalefet iç söz muhalif ola am her daim muhalefe zarar adam yüz gerçekleştiremedi abdullah gül elbet siyasal islamcı p ben dek biliyor ancak erdoğa o gün yenme tek yol akp-mhp blok en az 3-4% civar oy kopartmış p tek yapacak adam bu ik is erdoğa bask seç git elbet anket yaparak git kazanacak bilerek git o anki oy dağıl belli en i ihtimal ilk tur 50% 50% ol bil ikinci tur bir verme kala 50% tek aday toplama gerekiyor ve bu nere imkansız ki erdoğa ilk tur 53% al ve gül oyna kaza eğer gül veya hadi gül çok dah akp dönem bagajlı ve suçlu der alt babaca gip bir is muhalefet ortak ada olsa ve muhalefet akıllı olup on yıpratma saldırma gidip oy verse 2018 başkanlık seç büyük olasılık muhalefet taraf kazandır kılıçdaroğlu pla ya bu diyel alt babaca başka ol arka millet ittifak olacak ve parlementer siste çok dö olacak am bu olasılık görmek yer herkes bu pla eleştir erdoğa helikopter genel kurmay başkan gül gönder sosyal medya yarıs dede chp taklidi yapa akp trollü yarıs troller etkilene muhalif bö bir şey olur oy verme gider rte verir nasıl p düşünür di ortalık karıştırı yani muhalif saflık ülke siyaset ortam okuyamamas akşener gül karşı sert tut il bun birleş ve ülke yıl dah karanlık gömülmek zor kal ş o 2018 seç sonras muhalefet iç büyük yık ol zor gün geçil ancak ar chp yönetim ip el alıp sosyal medya tepki fs umursama yaptık isabetli aday seçim yerel seçim başar gel büyük risk al yerel seçim başar gelmeyedebilir sonuç istanbul ilk seç fark il kazanıl eğer kazanılsa bugu erdoğa çok dah güçlü olacak ve alt babaca orta hiç çıkmadı kendi riske atmadı ülke iyiç karanlık girer ülke dikta proble 2018 yıl çözülebilir biz iş uzat ş asl abdullah gül ve babaca o kadar ya ihtiyaç kalmadı erdoğa her şekil ke aday ya edebilir am 2018 yenemedi her ne dün ada dinledik biz farklı bir şey demiyor ya der erdoğa ya se ö aynı şey söylüyor bun güve olmaz der bileme erdoğa demokras bir tre gerektik iner dek diyor çok dah uç tamame aynı değil be am en i senaryo chp kadro il seçme il bu ada 2018 erdoğa karşı birleşmes bu senaryo vitr gül veya babaca olacak biz is kontrol sibiu olacak bu adam denetleyecek ve kadro destekleyecek ve ülke demokra ve siste kurtarılma gerçekleştirecek bu birliktelik ülke kutuplaşma sorun ya çizecek biz p zaman yapamadık biz kontrol alt babaca ve abdullah gül tehlikel olamaz am ke kadro ne olur bilemiyor ada izleyip takip ediyor olacak yanlız erdoğa bu ülke ne kadar zarar ver her geçe gün dah faz görüyor ülke asl donanımlı ada her kes çok am orta çıkmıyor çünkü kel gitme tehlikes var ülke çivis çık son yıl ve çok şey kaybediyor her geçe se bu kafa ülke dah faz gidemez bu ülke büyük potansiyel var am yazık et,2
27.11.2019 20:34,kibariye canavari,ali babacan,prezentabl postmodern siyasal islamcı. alacağı oy en fazla yüzde beş.,prezentabl postmodern siyasal islamcı alacak oy en faz yüz beş,0
27.11.2019 22:07,sanver,ali babacan,"şu sıralar açıklamaları gündem olan genç siyasetçi. beklentiler çok yüksek ama henüz ideolojik çizgisi, projeleri ve ekibi belli değil...",şu sıra açıklama günde ola genç siyasetçi beklen çok yük am he ideolojik çizgis proje ve ekip belli değil,1
30.11.2019 19:34,sercn,ali babacan,"tahminimce kuracağı parti şu an iyi partinin topladığı oy kadar bile oy alamaz. ak partiyi eleştiren bir tavır içerisinde olduğundan cumhur ittifakı tarafından çok fazla oy alamayacak. çünkü ali babacan’ın recep tayyip erdoğan’ı bitirme projesi olduğu düşünülecek. millet ittifakı tabanı zaten ali babacan gibi geçmişte akp nin kemik kadrosunda bulunan birine oy vermez. insanların taze kan arayışı, ekonomi yönetiminde değişiklik yapabileceği düşüncesi ve sivri bir şahsiyet olmaması sebebiyle mutlaka oy da toplayacak tabiki. ancak ne tarafta yer alırsa alsın alacağı az olan oyla bile dengeleri değiştireceği kesin. çünkü artık seçim kazanmak veya kaybetmek çok ince bir çizgi üzerinde gidip geliyor.",tahmin kuracak parti şu an i parti topladık oy kadar bil oy alamaz az parti eleştire bir tavır içeri olduk cumhur ittifak taraf çok faz oy alamayacak çünkü alt babaca ın recep tayyip erdoğa ı bitirme projes olduk düşünülecek millet ittifak taba zate alt babaca gip geçmiş akp nin kemik kadro buluna bir oy vermez insa taze kan arayış ekono yönetim değişiklik yapabilecek düşünces ve sivri bir şahsiyet olmamas sebep mutlak oy ya toplayacak tabik ancak ne taraf yer alır al alacak az ola o bil denge değiştirecek ke çünkü ar seç kazanmak veya kaybetmek çok i bir çizgi üzer gidip geliyor,1
01.12.2019 01:33,pawky,ali babacan,en iyi ihtimalde barajı geçecek siyasetçi,en i ihtimal baraj geçecek siyasetçi,1
01.12.2019 11:40,enfes bi insanim,ali babacan,"ali habacan' ın siyaset tarzını daha çok özal çizgisinde goruyorum, bir kesimin gerçekten sevdiği, bir kesimin temkinli yaklaştığı, bir kesimin sevmediği ama genel olarak nefret etmediği bir duruşu var gibi. ama bütün bunlar geçmişte destek verdiği politikaları unutturmalı mı tartışılır. sonuçta aynı kaynaktan çıkmış ve aynı zihniyetin makyajlı versiyonu.",alt babaca ın siyaset tarz dah çok özal çizgi goruyor bir kes gerçek sevdik bir kes temkinli yaklaştık bir kes sevmedik am genel olarak nefret etmedik bir duruş var gip am büt bun geçmiş destek verdik politika unutturmas mı tartışılır sonuç aynı kaynak çık ve aynı zihniyet makyajlı versiyo,0
04.12.2019 20:27,kececiazmi,ali babacan,"partisini 2020'ye kalmadan kuracağını belirten siyasi. tabiki en hazırlıklı şekilde meydana çıkmak en iyisi. ama yine de bu parti konusu hakkında çıt ses çıkmaması, acaba hala ciddi bir eksiklik mi var diye düşündürüyor. belki de peaky blinders'taki oswald mosley'den etkilenip bize yılbaşı sürprizi yapacaktır reis *recep tayyip erdoğan gibi hitabeti kuvvetli bir lider varken başkan olması biraz zor. malum bizim insanımız kibar bir tavır içinde olanları pek adam yerine koymuyor. bakalım ya rte siyasetten çekildikten sonra başa gelmeye çalışacak, ya da gelişecek bazı olaylar sonucu halk kahramanı, kurtarıcı falan ilan edilecek o şekilde başkan olabilir. son olarak geçmiş siyasi yaşamından dolayı oy vermenin yanlış olacağını düşünen çok insan var. maalesef içinde bulunduğumuz dönemde partilerin savundukları fikirler hep lafta, perde arkasında birbirlerinden farklı olduklarını düşünmüyorum. inandığı değerlerden sapmayan, atatürkçü, sadece ülkesine hizmeti düşünen bir lider gelmesi çok zor. o yüzden alternatifler arasından eğitimine, genel üslubuna vs. bakarak en aklı başında seçimi yapmak gerekiyor. seçimlere katılacak olursa kendisine oy vermeyi düşünürüm. kazanacak olursa liderlik dönemi boyunca yaptıklarına bakarım. ilkelerden sapmaya başlarsa, akp'nin son döneminden farksız bir yönetim sergilerse de sonraki seçimde faturayı keserim. kimseye fanatik şekilde bağlanmaya gerek yok. sadece meydanlarda ve medyada görülen insanlara gönül adamı muamelesi yapmaya lüzum yok. hep uydurulan ve vatandaşı da zorla dahil ettikleri bir dava falan da yok. sadece ülkeye ve vatandaşa hizmet var. sadece. kime oy verirsek verelim, ancak sorgularsak kazanacağız.",parti 2020 kalma kuracak belir siyas tabik en hazırlıklı şekil meyda çıkmak en iyis am y dek bu parti konus hakk çıt ses çıkmamas acap hal cidi bir eksiklik ki var di düşündürüyor belki dek peaky blinders oswaldı mosley etkilenip biz yılbaş sürpriz yapacak reis recep tayyip erdoğa gip hitabet kuvvetli bir lider var başka olmas biraz zor mas biz insan kibar bir tavır iç olan pek ada yer koymuyor bakal ya rte siyaset çekildik sonra baş gelme çalışacak ya ya gelişecek baz olay sonuç halk kahrama kurtarıç fala ila edilecek o şekil başka olabilir son olarak geç siyas yaşam dola oy verme yanlış olacak düşüne çok in var maalesef iç bulunduk döne parti savunduk fikir hep laf per arka birbir farklı olduk düşünmüyor inandık değer sapmaya atatürkçü sadeç ülke hizmet düşüne bir lider gelmes çok zor o yüz alternatif ara eğitim genel üslup fs bakarak en aklı baş seç yapmak gerekiyor seçim katılacak olur kendi oy verme düşünür kazanacak olur liderlik döne boy yaptık bakar ilke sapma baş akp son dönem farksız bir yönet sergi dek sonraki seç fatura keser kimse fanatik şekil bağlanma gerek yok sadeç meydan ve medya görüle insan gönül ada muameles yapma lüz yok hep uydurula ve vatandaş ya zor dahil ettik bir dav fala ya yok sadeç ülke ve vatandaş hizmet var sadeç k oy verir verel ancak sorgu kazanacak,2
13.12.2019 14:16,zinaedenzidan,ali babacan,partili cumhurbaşkanı'nın ekrem imamoğu tarafından ard arda iki kez hezimete uğratılmasından sonra cesaret bulup meydana çıkan siyasetçi. pek çok akplinin tersine hakkında yolsuzluk iddiaları yok. görece sicili temiz ve düzgün bir politikacı imajı çiziyor. ben kendi adıma oy vermem fakat sanırım rte nin gidişini hızlandıracak ve akpyi tarihin tozlu raflarına kaldıracak olan kişi kendisi olabilir. işim gereği sürekli insanlarla iç içeyim. akpnin ekonomiyi berbat edip insanları zamlarla canından bezdirmesinden sonra halkta akpye baya bi tepki oluşmuş. en azılı akpliler bile partili cumhurbaşkanı'nın artık gitmesi gerektiğini söylüyorlar. yakında hep birlikte göreceğiz. ali babacan gerçek akp killer olabilir.,partil cumhurbaşka ekre imamoğlu taraf ard ar ik kez hezime uğratılma sonra cesaret bulup meyda çıka siyasetçi pek çok tkpli ters hakk yolsuzluk iddia yok göreç sicil te ve düzgü bir politikaç imaj çiziyor ben ke ad oy verme fakat sanır rte nin gidiş hızlandıracak ve akayi tarih tozlu raf kaldıracak ola kiş kendis olabilir iş gerek sürekli insa iç iç akpn ekonomi berbat edip insan za can bildirme sonra halk akü ba bi tepki oluş en azıl kapil bil partil cumhurbaşka ar gitmes gerektik söylüyor yak hep birlik görecek alt babaca gerçek akp dil olabilir,1
17.12.2019 10:08,drajalo,ali babacan,"çevremde bürokrat kesimden çok fazla akp'li var. hepsi babacan'ın kuracağı partiden çok çekiniyorlar. mevcut milletvekillerinin de desteğini alacağını düşünüyorlar. davutoğlu'ndan zerre çekinmiyorlar bunlar, iplemiyorlar bile.",çevre bürokrat kes çok faz akp var hepsi babaca kuracak parti çok çekiniyor mevcut milletvekil dek destek alacak düşünüyor davutoğlu zerre çekinmiyor bun istemiyor bil,1
