Date,Price,Open,High,Low,Vol.,Change
2020-03-06,9180.6,9085.6,9199.7,9016.1,3.14,0.009899999999999999
2020-03-05,9090.8,8795.3,9185.0,8795.3,5.72,0.0344
2020-03-04,8788.6,8791.1,8877.7,8718.4,4.17,-0.0003
2020-03-03,8791.1,8938.5,8940.0,8700.0,5.32,-0.016399999999999998
2020-03-02,8938.1,8556.8,8990.8,8524.6,5.32,0.0435
2020-03-01,8565.2,8561.5,8775.0,8460.0,5.39,0.0009
2020-02-29,8557.3,8730.6,8820.9,8557.3,2.50,-0.0196
2020-02-28,8728.0,8826.1,8908.3,8455.2,7.09,-0.0111
2020-02-27,8825.8,8813.2,8975.0,8555.0,8.39,0.0014000000000000002
2020-02-26,8813.2,9324.8,9385.9,8652.7,14.59,-0.055099999999999996
2020-02-25,9327.5,9674.0,9686.6,9251.4,8.49,-0.0358
2020-02-24,9674.1,9983.8,10022.0,9484.3,6.59,-0.0311
2020-02-23,9985.0,9663.0,10001.0,9660.2,7.30,0.0334
2020-02-22,9662.4,9693.0,9714.0,9565.2,1.84,-0.0032
2020-02-21,9693.5,9609.2,9757.4,9567.9,11.10,0.0089
2020-02-20,9608.1,9586.2,9694.7,9362.4,6.50,0.0017000000000000001
2020-02-19,9592.2,10184.0,10309.0,9350.3,13.94,-0.057999999999999996
2020-02-18,10183.0,9708.0,10275.0,9625.9,8.25,0.0489
2020-02-17,9708.0,9929.7,9963.8,9501.5,9.30,-0.0223
2020-02-16,9929.7,9901.0,10037.0,9651.4,6.93,0.0029
2020-02-15,9901.0,10335.0,10370.0,9800.3,6.40,-0.042
2020-02-14,10335.0,10222.0,10371.0,10101.0,4.13,0.0111
2020-02-13,10222.0,10338.0,10489.0,10080.0,8.98,-0.0113
2020-02-12,10339.0,10249.0,10458.0,10238.0,8.71,0.009000000000000001
2020-02-11,10247.0,9851.2,10316.0,9720.0,8.45,0.0403
2020-02-10,9850.2,10151.5,10187.0,9737.8,8.52,-0.0296
2020-02-09,10151.0,9877.3,10161.0,9871.1,9.64,0.0277
2020-02-08,9877.2,9805.2,9920.7,9657.8,5.53,0.0073
2020-02-07,9805.2,9745.0,9859.6,9695.5,3.70,0.0062
2020-02-06,9744.9,9612.0,9860.0,9547.0,8.58,0.0138
2020-02-05,9612.0,9197.5,9731.2,9180.2,10.77,0.0451
2020-02-04,9197.4,9309.2,9359.8,9112.5,4.07,-0.012
2020-02-03,9309.3,9353.1,9625.3,9247.1,6.72,-0.004699999999999999
2020-02-02,9353.1,9408.0,9501.0,9175.4,6.44,-0.0060999999999999995
2020-02-01,9410.6,9371.3,9476.4,9318.1,2.53,0.0046
2020-01-31,9367.4,9512.7,9519.9,9221.9,4.87,-0.015300000000000001
2020-01-30,9512.7,9305.1,9550.0,9175.7,9.02,0.022400000000000003
2020-01-29,9304.2,9390.9,9442.0,9244.4,4.60,-0.0095
2020-01-28,9393.7,8912.1,9413.0,8912.1,9.12,0.0541
2020-01-27,8912.0,8622.0,9001.8,8585.2,6.28,0.0337
2020-01-26,8621.6,8351.1,8622.0,8303.6,3.52,0.0321
2020-01-25,8353.7,8447.1,8447.2,8280.0,2.10,-0.0111
2020-01-24,8447.1,8403.6,8521.8,8247.7,3.51,0.0052
2020-01-23,8403.5,8668.9,8669.3,8296.9,5.70,-0.0301
2020-01-22,8663.9,8734.2,8799.9,8580.6,2.35,-0.008
2020-01-21,8734.1,8638.2,8782.8,8512.2,3.25,0.0111
2020-01-20,8638.2,8698.6,8741.1,8519.6,4.11,-0.0064
2020-01-19,8694.0,8891.6,9169.5,8455.7,12.41,-0.0222
2020-01-18,8891.5,8873.1,8965.0,8794.2,3.46,0.0018
2020-01-17,8875.4,8719.5,8994.9,8674.2,9.69,0.0178
2020-01-16,8720.6,8810.9,8839.9,8579.8,5.31,-0.009899999999999999
2020-01-15,8807.7,8760.8,8873.0,8560.2,8.78,0.0037
2020-01-14,8775.6,8104.1,8829.0,8099.3,16.57,0.08410000000000001
2020-01-13,8094.5,8174.9,8198.3,8053.6,2.59,-0.0098
2020-01-12,8174.7,8013.6,8174.7,7951.7,3.21,0.020099999999999996
2020-01-11,8013.8,8184.3,8271.9,7994.6,4.25,-0.0199
