Date,Price,Open,High,Low,Change
2020-03-06,1674.52,1674.69,1692.12,1642.65,-0.0001
2020-03-05,1674.70,1636.62,1674.97,1635.68,0.0231
2020-03-04,1636.93,1645.51,1649.34,1632.15,-0.0054
2020-03-03,1645.88,1591.86,1651.65,1589.75,0.0338
2020-03-02,1592.08,1584.97,1610.86,1582.4,0.0037
2020-02-28,1586.16,1645.83,1648.36,1565.86,-0.0361
2020-02-27,1645.60,1643.26,1660.35,1635.75,0.0012
2020-02-26,1643.69,1639.76,1654.88,1625.92,0.0022
2020-02-25,1640.14,1654.33,1658.66,1629.1,-0.0084
2020-02-24,1654.01,1665.72,1689.0,1652.59,0.0064
2020-02-21,1643.46,1622.19,1649.04,1619.03,0.013000000000000001
2020-02-20,1622.30,1610.47,1623.76,1604.05,0.0074
2020-02-19,1610.44,1600.93,1612.99,1599.61,0.006
2020-02-18,1600.91,1584.38,1605.35,1584.3,0.0105
2020-02-17,1584.30,1583.03,1585.43,1578.92,0.0001
2020-02-14,1584.11,1577.3,1584.96,1573.2,0.0042
2020-02-13,1577.46,1569.82,1578.2,1569.24,0.0046
2020-02-12,1570.27,1567.07,1571.24,1562.13,0.002
2020-02-11,1567.19,1572.05,1573.99,1562.41,-0.0031
2020-02-10,1572.06,1574.91,1577.04,1568.12,0.0011
2020-02-07,1570.32,1565.89,1573.97,1562.55,0.0028000000000000004
2020-02-06,1565.89,1556.24,1568.33,1552.7,0.0062
2020-02-05,1556.22,1554.1,1562.29,1547.55,0.0013
2020-02-04,1554.20,1578.87,1579.65,1549.27,-0.015600000000000001
2020-02-03,1578.89,1589.51,1590.12,1570.27,-0.0064
2020-01-31,1589.01,1575.19,1590.55,1570.95,0.0088
2020-01-30,1575.21,1577.14,1586.01,1572.58,-0.0012
2020-01-29,1577.17,1568.58,1578.01,1563.44,0.0055000000000000005
2020-01-28,1568.58,1581.21,1583.09,1565.62,-0.008
2020-01-27,1581.19,1582.81,1586.34,1575.96,0.0062
2020-01-24,1571.45,1561.08,1575.83,1556.67,0.0067
2020-01-23,1561.03,1561.41,1567.98,1551.96,-0.0003
2020-01-22,1561.45,1556.57,1563.8,1550.28,0.0032
2020-01-21,1556.51,1561.32,1568.66,1546.49,-0.0031
2020-01-20,1561.33,1557.21,1564.26,1556.74,0.0031
2020-01-17,1556.59,1552.34,1561.3,1549.53,0.0028000000000000004
2020-01-16,1552.30,1556.46,1558.17,1548.1,-0.0023
2020-01-15,1555.95,1549.65,1558.22,1546.45,0.0040999999999999995
2020-01-14,1549.62,1545.31,1550.08,1536.03,0.0028000000000000004
2020-01-13,1545.31,1559.46,1560.07,1545.01,-0.0109
2020-01-10,1562.29,1552.7,1563.18,1545.8,0.0060999999999999995
2020-01-09,1552.74,1557.96,1561.4,1540.35,-0.0033
2020-01-08,1557.94,1595.02,1611.52,1552.34,-0.0233
2020-01-07,1595.13,1563.91,1598.43,1555.37,0.02
2020-01-06,1563.86,1569.13,1580.13,1560.91,0.0076
2020-01-03,1552.03,1529.15,1553.53,1529.05,0.0152
2020-01-02,1528.84,1518.45,1531.44,1517.9,0.0068000000000000005
2020-01-01,1518.47,1517.36,1520.34,1517.36,0.0008
2019-12-31,1517.30,1514.96,1525.32,1514.85,0.0015
2019-12-30,1514.98,1513.59,1516.19,1510.86,0.0026
2019-12-27,1511.03,1511.33,1515.39,1507.44,-0.0002
2019-12-26,1511.27,1499.58,1512.62,1497.87,0.0079
2019-12-25,1499.47,1499.85,1500.44,1497.87,-0.0001
2019-12-24,1499.56,1485.6,1500.56,1484.44,0.009399999999999999
2019-12-23,1485.53,1478.52,1486.2,1478.46,0.005
2019-12-20,1478.08,1478.56,1481.02,1475.91,-0.0003
2019-12-19,1478.52,1475.79,1481.9,1473.33,0.0018
2019-12-18,1475.84,1475.7,1479.35,1470.57,0.0001
2019-12-17,1475.68,1475.51,1480.54,1474.28,0.0002
2019-12-16,1475.42,1474.24,1479.87,1473.26,-0.0002
2019-12-13,1475.76,1465.23,1478.05,1464.89,0.0073
2019-12-12,1465.10,1474.64,1486.9,1462.06,-0.006500000000000001
2019-12-11,1474.67,1463.94,1478.56,1462.91,0.0073
2019-12-10,1463.98,1461.16,1469.21,1460.0,0.0019
2019-12-09,1461.19,1460.06,1465.38,1459.16,0.0008
2019-12-06,1460.09,1476.07,1479.63,1458.79,-0.0108
2019-12-05,1476.05,1475.57,1480.5,1473.05,0.0003
2019-12-04,1475.68,1476.62,1484.1,1471.55,-0.0007000000000000001
2019-12-03,1476.70,1462.71,1481.9,1459.9,0.0096
2019-12-02,1462.72,1461.85,1465.1,1454.0,-0.0026
2019-11-29,1466.48,1456.13,1466.59,1453.13,0.0070999999999999995
2019-11-28,1456.09,1456.88,1458.34,1454.47,-0.0003
2019-11-27,1456.50,1460.56,1461.3,1452.65,-0.0029
2019-11-26,1460.66,1453.96,1462.94,1450.18,0.0046
2019-11-25,1454.03,1460.6,1462.21,1453.72,-0.005600000000000001
2019-11-22,1462.29,1464.4,1473.15,1461.0,-0.0014000000000000002
2019-11-21,1464.40,1471.4,1475.85,1462.43,-0.004699999999999999
2019-11-20,1471.25,1472.39,1478.9,1465.66,-0.0008
2019-11-19,1472.38,1470.85,1475.5,1464.3,0.001
2019-11-18,1470.85,1467.51,1474.1,1455.97,0.0024
2019-11-15,1467.37,1471.2,1471.43,1462.05,-0.0026
2019-11-14,1471.20,1463.18,1474.48,1460.76,0.0055000000000000005
2019-11-13,1463.19,1457.19,1467.14,1455.9,0.0040999999999999995
2019-11-12,1457.19,1455.79,1460.32,1445.43,0.0009
2019-11-11,1455.90,1458.96,1466.59,1448.14,-0.0019
2019-11-08,1458.66,1468.01,1473.25,1456.05,-0.0064
2019-11-07,1468.07,1490.29,1492.32,1461.0,-0.015
2019-11-06,1490.46,1484.1,1494.3,1482.21,0.0043
2019-11-05,1484.10,1509.64,1509.9,1479.35,-0.0169
2019-11-04,1509.63,1513.8,1514.93,1504.46,-0.0029
2019-11-01,1513.95,1513.53,1515.81,1503.3,0.0004
2019-10-31,1513.36,1496.39,1514.39,1493.64,0.012
2019-10-30,1495.40,1487.6,1496.8,1481.02,0.0052
2019-10-29,1487.60,1492.64,1495.0,1483.71,-0.0034000000000000002
2019-10-28,1492.69,1504.21,1508.36,1489.65,-0.008
2019-10-25,1504.73,1504.75,1518.1,1500.55,0.0007000000000000001
2019-10-24,1503.65,1492.3,1504.21,1488.02,0.0077
2019-10-23,1492.10,1488.2,1496.24,1487.49,0.0027
2019-10-22,1488.05,1484.66,1489.17,1480.84,0.0024
2019-10-21,1484.50,1492.02,1495.31,1481.75,-0.0038
2019-10-18,1490.10,1492.32,1494.33,1484.8,-0.0012
2019-10-17,1491.89,1490.4,1497.43,1483.35,0.0014000000000000002
2019-10-16,1489.77,1481.28,1491.6,1477.05,0.0058
